Id,Review,Sentiment
48,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
49,This case seems well made.,1
50,Disappointed with battery.,0
51,Not loud enough and doesn't turn on like it should.,0
52,good protection and does not make phone too bulky.,1
53,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
54,This phone is pretty sturdy and I've never had any large problems with it.,1
55,I love this thing!,1
56,Everything about it is fine and reasonable for the price i.e.,1
57,VERY DISAPPOINTED.,0
58,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
59,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
60,The buttons for on and off are bad.,0
61,Essentially you can forget Microsoft's tech support.,0
62,"I really recommend this faceplates since it looks very nice, elegant and cool.",1
63,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
64,Buy a different phone - but not this.,0
65,You have to hold the phone at a particular angle for the other party to hear you clearly.,0
66,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
67,"A week later after I activated it, it suddenly died.",0
68,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
69,Great for iPODs too.,1
70,This device is great in several situations:1.),1
71,Mic Doesn't work.,0
72,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0
73,Great choice!,1
74,Nice docking station for home or work.,1
75,This is a beautiful phone.,1
76,Love this product.,1
77,Do Not Buy for D807...wrongly advertised for D807.,0
78,This is a great little item.,1
79,"I love this phone , It is very handy and has a lot of features .",1
80,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
81,I wear it everyday and it holds up very well.,1
82,Not a good bargain.,0
83,"Well packaged, arrived on time, and works as intended.",1
84,The battery runs down quickly.,0
85,"This item worked great, but it broke after 6 months of use.",0
86,The headsets are easy to use and everyone loves them.,1
87,This phone works great.,1
88,The construction of the headsets is poor.,0
89,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
90,The phone loads super!,1
91,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
92,Made very sturdy.,1
93,Worked great!.,1
94,The ear buds only play music in one ear.,0
95,Dont waste your money...,0
96,Will order from them again!,1
97,If you plan to use this in a car forget about it.,0
98,I found this product to be waaay too big.,0
99,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
100,I'm very disappointed with my decision.,0
101,Integrated seamlessly with the Motorola RAZR phone.,1
102,"Buyer Beware, you could flush money right down the toilet.",0
103,Definitely a bargain.,1
104,The price was very good and with the free shipping and all it was a good purchase.,1
105,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
106,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
107,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0
108,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
109,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
110,I purcashed this for the car charger and it does not work.,0
111,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1
112,This phone is slim and light and the display is beautiful.,1
113,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
114,"Great product, fast shipping!.",1
115,Absolutely great.,1
116,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
117,i got this phone around the end of may and i'm completely unhappy with it.,0
118,It is very comfortable on the ear.,1
119,It has been a winner for us.,1
120,)Setup couldn't have been simpler.,1
121,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
122,Could not get strong enough signal.,0
123,Iam very pleased with my purchase.,1
124,Bad Quality.,0
125,Gets the job done.,1
126,Great audio!.,1
127,Basically the service was very bad.,0
128,it did not work in my cell phone plug i am very up set with the charger!.,0
129,"I've only had my bluetooth for a few weeks, but I really like it.",1
130,The BT headset was such a disapoinment.,0
131,It is so small and you don't even realize that it is there after a while of getting used to it.,1
132,The accompanied software is almost brilliant.,1
133,Headset works great & was packaged nicely to avoid any damage.,1
134,!I definitly recommend!!,1
135,Buyer--Be Very Careful!!!!!.,0
136,The majority of the Logitech earbud headsets failed.,0
137,Very good stuff for the price.,1
138,My headset works just peachy-keen.,1
139,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
140,Voice recognition is tremendous!,1
141,What a waste.,0
142,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0
143,I was not happy with this item.,0
144,very disappointed.,0
145,The phone takes FOREVER to charge like 2 to 5 hours literally.,0
146,I got this phone on reccomendation from a relative and I'm glad I did.,1
147,What a waste of time!,0
148,Its reception is very very poor.,0
149,Items stated as included from the description ARE NOT INCLUDED.,0
150,"After 3 months, screen just went black all of a sudden.",0
151,I Was Hoping for More.,0
152,"Audio Quality is poor, very poor.",0
153,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
154,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1
155,I've bought $5 wired headphones that sound better than these.,0
156,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
157,"Nice quality build, unlike some cheap s*** out there.",1
158,This item is fantastic and works perfectly!,1
159,And I just love the colors!,1
160,W810i is just SUPERB.,1
161,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0
162,Great charger.,1
163,This is essentially a communications tool that does not communicate.,0
164,Works like a charm; it work the same as the one I got with the phone.,1
165,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
166,Great Value.,1
167,Doesn't work at all.. I bougth it for my L7c and its not working.,0
168,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1
169,doesn't last long.,0
170,One thing I hate is the mode set button at the side.,0
171,EXCELLENT SERVICE!!!!!!!!.,1
172,Thank you for wasting my money.,0
173,How can that be?The audio quality is poor.,0
174,The iGo chargers and tips are really great.,1
175,The file browser offers all the options that one needs.Handsfree is great.,1
176,Superb Phone on a Great Network.,1
177,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
178,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
179,It only recognizes the Phone as its storage device.,0
180,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
181,Don't buy this product.,0
182,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
183,The sound quality is good and functionality is awesome.,1
184,"I have this phone and it is a thorn in my side, I really abhor it.",0
185,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
186,Incredible!.,1
187,Design Flaw?.,0
188,Great phone!.,1
189,Waste of 13 bucks.,0
190,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0
191,The replacement died in a few weeks.,0
192,Any ring tone..Overall good phone to buy..,1
193,Lately they have been extremely nice and helpful on the phone.,1
194,I have had problems wit hit dropping signal and more.,0
195,Not impressed.,0
196,"Light weight, I hardly notice it is there.",1
197,You'll love how thin it is.,1
198,Bad Choice.,0
199,The pleather case doesn't fit.,0
200,"useless phone, simply deaf.",0
201,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1
202,All in all I think it was a good investment.,1
203,It makes very strange ticking noises before it ends the call.,0
204,The best electronics of the available FM Transmitters.,1
205,Battery lasts only a few hours.,0
206,"great headset, very impressed - H500.",1
207,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
208,I've had this for nearly 2 years and it has worked great for me.,1
209,Good transmit audio.,1
210,We are sending it back.,0
211,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
212,"If you hate earbugs, avoid this phone by all means.",0
213,Great price also!,1
214,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
215,fast service.,1
216,I would highly recommend this.,1
217,I would recommend this.,1
218,"I also didn't like the ""on"" button, it felt like it would crack with use.",0
219,WORST PHONE EVER.,0
220,I'm still infatuated with this phone.,1
221,Freezes frequently4.,0
222,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
223,"Simple, lightweight and great fit.",1
224,"All in all, I'd expected a better consumer experience from Motorola.",0
225,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
226,These are certainly very comfortable and functionality is decent.,1
227,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
228,I'm a bit disappointed.,0
229,"I have had this phone for over a year now, and I will tell you, its not that great.",0
230,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
231,The battery is completely useless to me.,0
232,What a big waste of time.,0
233,Don't waste your $$$ on this one.,0
234,Great sound and service.,1
235,Really pleased with this product so far.,1
236,One of my favorite purchases ever.,1
237,best bluetooth on the market.,1
238,Authentic leather with nice shine and comfort .I recommend you this case !!,1
239,I was very excited to get this headset because I thought it was really cute.,1
240,Do not make the same mistake as me.,0
241,Big Disappointment with calendar sync.,0
242,the phone was unusable and was not new.,0
243,Worst Customer Service Ever.,0
244,"No additional ear gels provided, and no instructions whatsoever.",0
245,It defeats the purpose of a bluetooth headset.,0
246,Worth every penny.,1
247,Excellent wallet type phone case.,1
248,Nice headphones for the price and they work great!,1
249,Internet is excrutiatingly slow.,0
250,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
251,"It's fits like a glove and is strong, secure, and durable.",1
252,O my gosh the best phone I have ever had.,1
253,It's very attractive and appears to be of good quality.,1
254,I love all the features and form factor.,1
255,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
256,poor quality and service.,0
257,"The cable looks so thin and flimsy, it is scary.",0
258,Great Earpiece.,1
259,Excellent hands free tool.,1
260,Great for using with your home stereo.,1
261,Good product - incredible value.,1
262,Only had this a month but it's worked flawlessly so far.,1
263,Works great.,1
264,Absolutel junk.,0
265,THAT one didn't work either.,0
266,Battery life is real good.,1
267,Returned 8 hours later.,0
268,It's a great item.,1
269,Don't waste your money!.,0
270,Love this headset!,1
271,"Not only will it drain your player, but may also potentially fry it.",0
272,Worked perfectly!,1
273,Unreliable - I'm giving up.,0
274,I gave it 5 stars because of the sound quality.,1
275,Avoid this one if you can.,0
276,Reversible plug works great.,1
277,I wasted my little money with this earpiece.,0
278,Very good phone.,1
279,"Best of all is the rotating feature, very helpful.",1
280,Comfort for our whole family.,1
281,"Good product, good seller.",1
282,I love this bluetooth!,1
283,"First of all, it doesn't wear well.",0
284,I am very impressed with this headset from Plantronics.,1
285,I got it because it was so small and adorable.,1
286,Great phone!.,1
287,I wouldn't recommend buying this product.,0
288,Piece of Junk.,0
289,Poorly contstruct hinge.,0
290,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
291,Great Phone.,1
292,Don't buy it.,0
293,Excellent Phone.,1
294,DO NOT PURCHASE THIS PHONE.,0
295,The voice recognition thru the handset is excellent.,1
296,This is hands down the best phone I've ever had.,1
297,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1
298,This one works and was priced right.,1
299,Customer service was terrible.,0
300,Battery life still not long enough in Motorola Razor V3i.,0
301,Sending it back.,0
302,Now I know that I made a wise decision.,1
303,Someone shouldve invented this sooner.,1
304,Good price.,1
305,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
306,I received it quickly and it works great!!,1
307,Has been working great.,1
308,"As many people complained, I found this headset's microphone was very weak.",0
309,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
310,They do not care about the consumer one bit.,0
311,"This is a good battery, and it got here really fast.",1
312,The instruction manual is lacking.,0
313,Also its slim enough to fit into my alarm clock docking station without removing the case.,1
314,Phone now holds charge like it did when it was new.,1
315,The battery is unreliable as well as the service use antena.,0
316,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0
317,We have gotten a lot of compliments on it.,1
318,This is definitely a must have if your state does not allow cell phone usage while driving.,1
319,I want my money back.,0
320,I love this device.,1
321,I am also very happy with the price.,1
322,I ordered this product first and was unhappy with it immediately.,0
323,The Ngage is still lacking in earbuds.,0
324,I was able to do voice dialing in the car with no problem.,1
325,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
326,"good item, low price.",1
327,"However-the riingtones are not the best, and neither are the games.",0
328,The plug did not work very well.,0
329,AMAZON SUCKS.,0
330,Rip off---- Over charge shipping.,0
331,VERY comfortable.,1
332,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
333,The reception is excellent!,1
334,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
335,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1
336,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
337,Obviously there is a problem with the adhesive.,0
338,Very disappointing.,0
339,"It was an inexpensive piece, but I would still have expected better quality.",0
340,It is practically useless and did not add any kind of boost to my reception after I bought it.,0
341,Excellent sound quality.,1
342,Was not happy.,0
343,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
344,New Battery works great in phone.,1
345,Worst customer service.,0
346,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1
347,Reception is terrible and full of static.,0
348,Good audio quality.,1
349,This little device has transformed my organizational capability and made my life a whole lot easier.,1
350,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0
351,Were JERKS on the phone.,0
352,Works like a charm.. Works as advertised.,1
353,"Comfortable, Nice Range, Good Battery Life.",1
354,Their network coverage in Los Angeles is horrible.,0
355,Excellent starter wireless headset.,0
356,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
357,The only thing that I think could improve is the sound leaks out from the headset.,0
358,"First off the reception sucks, I have never had more than 2 bars, ever.",0
359,The phone gets EXTREMELY HOT!,0
360,"The microphone also works well, but (according to people I have called) it applifies everything.",1
361,Nice design and quality.,1
362,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0
363,"It is light, easy to use, and has very clear reception and transmission.",1
364,"bad fit, way too big.",0
365,It definitely was not as good as my S11.,1
366,awesome device.,1
367,Waste of money.,0
368,"I had ordered a motorola data cable, got a very well finished and working product.",1
369,Love This Phone.,1
370,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
371,"I'll be drivng along, and my headset starts ringing for no reason.",0
372,Display is excellent and camera is as good as any from that year.,1
373,Battery life is also great!,1
374,The worst phone I've ever had.... Only had it for a few months.,0
375,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
376,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
377,Protects the phone on all sides.,1
378,This is a VERY average phone with bad battery life that operates on a weak network.,0
379,"Clear Skype Calls, Long Battery Life, Long Range.",1
380,Soyo technology sucks.,0
381,Great Hands Free Device.,1
382,"you can even take self portraits with the outside (exterior) display, very cool.",1
383,Same problem as others have mentioned.,0
384,After trying many many handsfree gadgets this is the one that finally works well.,1
385,Magical Help.,1
386,The worst piece of crap ever along with the Verizon customer service.,0
387,Poor sound quality.,0
388,The best phone in market :).,1
389,It worked very well.,1
390,The company shipped my product very promptly and it works well.,1
391,Exactly what I wanted.,1
392,The picture resolution is far below what other comparably-priced phones are offering today.,0
393,This is a great deal.,1
394,"Excellent product, I am very satisfied with the purchase.",1
395,I highly recommend these and encourage people to give them a try.,1
396,Better than you'd expect.,1
397,"Using all earpieces, left or right, this thing will not stay on my ear.",0
398,Great product and price.,1
399,"Sounds good reasonably priced and effective, Its that simple !",1
400,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
401,what a disappointment,0
402,Very prompt service.,1
403,Excellent product for the price.,1
404,Very pleased with this headset.,1
405,don't waste your money and time.,0
406,I especially love the long battery life.,1
407,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0
408,Works great.,1
409,Plantronics Bluetooth Excelent Buy.,1
410,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
411,I'll be looking for a new earpiece.,0
412,I highly recommend this device to everyone!,1
413,Jawbone Era is awesome too!,1
414,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
415,After a year the battery went completely dead on my headset.,0
416,"I have used several phone in two years, but this one is the best.",1
417,An Awesome New Look For Fall 2000!.,1
418,This is the first phone I've had that has been so cheaply made.,0
419,"Att is not clear, sound is very distorted and you have to yell when you talk.",0
420,The plastic breaks really easy on this clip.,0
421,Price is good too.,1
422,Don't make the same mistake I did.,0
423,Oh and I forgot to also mention the weird color effect it has on your phone.,0
424,I'm using it with an iriver SPINN (with case) and it fits fine.,1
425,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
426,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1
427,"every thing on phone work perfectly, she like it.",1
428,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
429,IT'S REALLY EASY.,1
430,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
431,Fantastic earphones.,1
432,It finds my cell phone right away when I enter the car.,1
433,Low Quality.,0
434,I highly recommend this modest priced cellular phone.,1
435,But it does get better reception and clarity than any phone I've had before.,1
436,Warning - Stay away.,0
437,I wish I could return the unit and get back my money.,0
438,Awsome Device Works Great!!.,1
439,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
440,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
441,Very Displeased.,0
442,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
443,They made this case too small and is very difficult to install.,0
444,Restored my phone to like new performance.,1
445,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
446,"I searched the Internet, and found this one to be the best value.",1
447,Does not fit.,0
448,Very happy with this product.,1
449,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
450,There's really nothing bad I can say about this headset.,0
451,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1
452,Portable and it works.,1
453,"My colleague & I now get great reception.A little expensive, but performance is great.",1
454,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
455,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
456,Not good when wearing a hat or sunglasses.,0
457,Timely shipment and quality product.,1
458,Nice solid keyboard.,1
459,Very well made and fits my Surefire GX2 perfectly.,1
460,Horrible phone.,0
461,BT50 battery junk!.,0
462,We would recommend these to others.,1
463,Cant get the software to work with my computer.,0
464,Disappointed!.,0
465,poor voice clarity.,0
466,The battery works great!,1
467,No buyers remorse on this one!.,0
468,Very disappointed in AccessoryOne.,0
469,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
470,"Looks great and is strong.""",1
471,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
472,The update procedure is difficult and cumbersome.,0
473,Disappointment.. I hate anything that goes in my ear.,0
474,Great software for Motorolas.,1
475,The delivery was on time.,1
476,Very easy to use.,1
477,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0
478,The volume switch rocketed out of the unit to a destination unknown.,0
479,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
480,I'd like to return it.,0
481,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
482,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
483,"After charging overnight, these batteries work great.",1
484,You won't regret it!,1
485,I love this phone!.,1
486,A Disappointment.,0
487,Its not user friendly.,0
488,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
489,"Then I exchanged for the same phone, even that had the same problem.",0
490,This results in the phone being either stuck at max volume or mute.,0
491,This PDA rocks.,1
492,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
493,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
494,I had Verizon 2 years ago and really liked their service.,1
495,Pretty piece of junk.,0
496,Plug was the wrong size.,0
497,Works as described.,1
498,Save your money.... I've had this item for 11 months now.,0
499,Bad Purchase.,0
500,WELL IM SATISFIED.,1
501,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1
502,This battery is an excellent bargain!,1
503,Defective crap.,0
504,I would have given no star if I was able.,0
505,I wear glasses and it fits fine with them.,1
506,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0
507,I would not recommend this item to anyone.,0
508,The holster that arrived did not match the photo in the ad.,0
509,great...no problems at all!.,1
510,"As an earlier review noted, plug in this charger and nothing happens.",0
511,This frog phone charm is adorable and very eye catching.,1
512,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
513,The sound is clear and the people I talk to on it are amazed at the quality too.,1
514,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
515,"very good product, well made.",1
516,Mobile Phone Tools are a must have.,1
517,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
518,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1
519,The phone is sturdy and waterproof.,1
520,I am not impressed with this and i would not recommend this item to anyone.,0
521,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
522,Thanks again to Amazon for having the things I need for a good price!,1
523,I ended up sliding it on the edge of my pants or back pockets instead.,1
524,I had to go to a store and bought a new NOKIA phone which is working great.,1
525,Works great!.,1
526,REALLY UGLY.,0
527,"horrible, had to switch 3 times.",0
528,The noise shield is incrediable.,1
529,No real improvement.,0
530,Razr Battery - Good buy.,1
531,Keep up the good work Amazon!!,1
532,They refuse to refund or replace.,0
533,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
534,So I basically threw my money out the window for nothing.,0
535,Great case and price!,1
536,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0
537,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1
538,"Small, sleek, impressive looking, practical setup with ample storage in place.",1
539,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
540,none of the new ones have ever quite worked properly.,0
541,I am glad I purchased it.,1
542,I've missed numerous calls because of this reason.,0
543,"Perhaps my phone is defective, but people cannot hear me when I use this.",0
544,Don't buy this product.,0
545,"sucked, most of the stuff does not work with my phone.",0
546,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1
547,Worst software ever used.... If I could give this zero stars I would.,0
548,Trying to make a call on these is an exercise in frustration.,0
549,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
550,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
551,"I love the camera, it's really pretty good quality.",1
552,Thank you for such great service.,1
553,Its a total package.,1
554,"The seller is very understanding and patient, I would definitely buy from them again.",1
555,I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0
556,It's AGGRAVATING!,0
557,Great product for the price!.,1
558,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
559,Virgin Wireless rocks and so does this cheap little phone!,1
560,"None of it works, just don't buy it.",0
561,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0
562,Please dont waste your money.,0
563,"All in all, I'm quite satisfied with this purchase.",1
564,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0
565,Yet Plantronincs continues to use the same flawed charger design.,0
566,Disapointing Results.,0
567,Cumbersome design.,0
568,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
569,Great Product.,1
570,It's A PIECE OF CRAP!,0
571,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0
572,This fixes all the problems.,1
573,Worst ever.,0
574,I am very happy,1
575,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1
576,"I can barely ever hear on it and am constantly saying ""what?""",0
577,The battery life is highly unacceptable.,0
578,That company is a joke.,0
579,It does everything the description said it would.,1
580,Due to this happening on every call I was forced to stop using this headset.,0
581,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
582,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0
583,"Voice Quality, Signal Strength, Dropped Calls.",0
584,"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1
585,Better than expected.,1
586,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
587,Battery is holding up well.,1
588,Also difficult to put on.I'd recommend avoiding this product.,0
589,"I only used it two days, and it wasn't always easy to hear with.",0
590,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
591,Sprint - terrible customer service.,0
592,Linked to my phone without effort.,1
593,THey are so cool!,1
594,Easy to use.,1
595,Better Than New.,1
596,"What possesed me to get this junk, I have no idea...",0
597,Piece of trash.,0
598,A pretty good product.,1
599,This is a great phone!.,1
600,"For the price on Amazon, it is an excellent product, which I would highly recommend.",1
601,Their Research and Development division obviously knows what they're doing.,1
602,"The real killer is the volume, and of course it breaking.",0
603,Those phones are working just fine now.,1
604,I am more than happy with this product.,1
605,Poor Construction.,0
606,This is infuriating.,0
607,"Overall, I would recommend this phone over the new Walkman.",1
608,Sprint charges for this service.,0
609,"It is cheap, and it feel and look just as cheap.",0
610,It fits my ear well and is comfortable on.,1
